,0,1,2,3,4,5,6,7,8,9
166,07/07/1999,54,38,46,63,82,83,87,01,00
167,10/07/1999,55,01,04,42,67,75,77,31,00
168,14/07/1999,56,04,48,60,63,84,88,62,00
169,17/07/1999,57,05,22,35,38,74,82,36,00
170,21/07/1999,58,11,19,26,58,67,89,01,00
171,24/07/1999,59,13,16,23,52,67,78,76,00
172,28/07/1999,60,13,64,68,84,89,90,85,00
173,31/07/1999,61,05,34,44,73,77,83,65,00
174,04/08/1999,62,12,23,46,54,78,90,85,00
175,07/08/1999,63,04,16,29,58,69,88,54,00
176,11/08/1999,64,10,19,24,29,42,67,39,00
177,14/08/1999,65,45,64,73,80,81,85,11,00
178,18/08/1999,66,13,16,51,56,65,67,35,00
179,21/08/1999,67,01,32,37,63,67,69,90,00
180,25/08/1999,68,01,25,28,39,51,89,62,00
181,28/08/1999,69,07,12,14,16,24,45,54,00
182,01/09/1999,70,05,19,26,32,67,87,65,00
183,04/09/1999,71,38,40,41,69,76,81,78,00
184,08/09/1999,72,15,38,48,74,75,80,81,00
185,11/09/1999,73,25,40,57,59,76,82,55,00
186,15/09/1999,74,17,20,27,29,72,73,85,00
187,18/09/1999,75,12,15,33,60,79,88,08,00
188,22/09/1999,76,01,11,40,50,53,80,68,00
189,25/09/1999,77,06,27,37,38,47,79,23,00
190,29/09/1999,78,04,16,27,55,67,72,03,00
191,02/10/1999,79,06,10,38,48,49,65,61,00
192,06/10/1999,80,38,58,61,64,82,87,68,00
193,09/10/1999,81,12,35,40,59,78,80,44,00
194,13/10/1999,82,06,24,30,34,37,71,82,00
195,16/10/1999,83,03,35,45,47,54,70,30,00
196,20/10/1999,84,22,26,58,60,67,88,49,00
197,23/10/1999,85,24,46,57,73,79,81,77,00
198,27/10/1999,86,06,25,34,72,76,82,12,00
199,30/10/1999,87,16,21,29,39,70,90,76,00
200,03/11/1999,88,19,42,64,68,72,86,45,00
201,06/11/1999,89,06,07,37,67,80,87,22,00
202,10/11/1999,90,21,45,55,61,73,80,77,00
203,13/11/1999,91,03,23,61,82,83,88,64,00
204,17/11/1999,92,06,51,73,78,80,81,34,00
205,20/11/1999,93,20,31,45,62,76,81,51,00
206,24/11/1999,94,12,16,24,48,53,58,85,00
207,27/11/1999,95,14,20,57,79,85,88,69,00
208,01/12/1999,96,01,13,24,39,44,45,83,00
209,04/12/1999,97,13,39,62,63,66,76,11,00
210,09/12/1999,98,20,32,37,44,75,88,72,00
211,11/12/1999,99,06,27,50,57,77,80,22,00
212,15/12/1999,100,18,21,28,35,41,85,66,00
213,18/12/1999,101,13,42,57,61,63,82,45,00
214,22/12/1999,102,06,09,32,47,59,60,83,00
215,27/12/1999,103,20,21,63,71,75,79,15,00
216,29/12/1999,104,14,15,20,42,70,88,28,00
217,03/01/2000,01,17,38,48,51,55,62,59,00
218,05/01/2000,02,02,13,31,37,38,82,39,00
219,08/01/2000,03,06,15,47,71,75,86,78,00
220,12/01/2000,04,03,15,48,74,76,81,34,00
221,15/01/2000,05,11,21,22,50,59,63,42,00
222,19/01/2000,06,20,29,39,54,57,71,28,00
223,22/01/2000,07,15,21,55,60,70,90,34,00
224,26/01/2000,08,02,57,62,63,73,87,55,00
225,29/01/2000,09,55,65,68,70,73,80,89,00
226,02/02/2000,10,12,13,28,30,47,63,35,00
227,05/02/2000,11,17,48,52,64,86,87,60,00
228,09/02/2000,12,06,36,49,51,52,76,35,00
229,12/02/2000,13,04,33,67,71,81,82,72,00
230,16/02/2000,14,08,27,39,51,54,90,71,00
231,19/02/2000,15,25,28,37,51,54,81,04,00
232,23/02/2000,16,44,53,61,65,86,89,49,00
233,26/02/2000,17,04,35,48,57,69,90,34,00
